Words,Tweet
shampoo, Who thought glitter in a beard shampoo was a good idea???
hate," I hate liquid soap, I only like Bars"
bathroom,WTF?! You’re Soap has just filled my bathroom full of bubbles!! Way to bubbly for me 
bubbles,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
bubbles,WTF?! You’re Soap has just filled my bathroom full of bubbles!! Way to bubbly for me 
suds,Hey  you suds are soap...I expected beer!
bought,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
affair,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
brothel,"I just wanted a bar of soap, not to smell like a brothel?! Do you even smell your own products "
hell,"Your soap has made my beard itchy, what the hell do you put in it?"
having,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
glitter, Who thought glitter in a beard shampoo was a good idea???
idea, Who thought glitter in a beard shampoo was a good idea???
itchy,"Your soap has made my beard itchy, what the hell do you put in it?"
Bar,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
bar,"I just wanted a bar of soap, not to smell like a brothel?! Do you even smell your own products "
Bar,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
bar,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
bar,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
perfumed,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
OMG, OMG my beard fell off!!
lot,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
soapI,Hey  you suds are soap...I expected beer!
beer,Hey  you suds are soap...I expected beer!
filled,WTF?! You’re Soap has just filled my bathroom full of bubbles!! Way to bubbly for me 
expected,Hey  you suds are soap...I expected beer!
liquid," I hate liquid soap, I only like Bars"
Soap,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
soap,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
soap,"I just wanted a bar of soap, not to smell like a brothel?! Do you even smell your own products "
soap," I hate liquid soap, I only like Bars"
Soap,WTF?! You’re Soap has just filled my bathroom full of bubbles!! Way to bubbly for me 
soap,"Your soap has made my beard itchy, what the hell do you put in it?"
Soap,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
soap,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
Youve,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
full,WTF?! You’re Soap has just filled my bathroom full of bubbles!! Way to bubbly for me 
worth,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
worth,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
Im,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
Im,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
chocolate,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
coming, when r u coming to Paris?
fell, OMG my beard fell off!!
u, when r u coming to Paris?
wanted,"I just wanted a bar of soap, not to smell like a brothel?! Do you even smell your own products "
wanted,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
Actually,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
Youre,WTF?! You’re Soap has just filled my bathroom full of bubbles!! Way to bubbly for me 
WTF,WTF?! You’re Soap has just filled my bathroom full of bubbles!! Way to bubbly for me 
Because,I just bought my first  soap! Because I'm worth it! Actually I'm worth a lot more!
beard, Who thought glitter in a beard shampoo was a good idea???
beard,"Your soap has made my beard itchy, what the hell do you put in it?"
beard, OMG my beard fell off!!
Paris, when r u coming to Paris?
not,"I just wanted a bar of soap, not to smell like a brothel?! Do you even smell your own products "
not,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
accused,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
bubbly,WTF?! You’re Soap has just filled my bathroom full of bubbles!! Way to bubbly for me 
wife,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
r, when r u coming to Paris?
morons,My wife has accused me of having an affair you morons. You’ve over perfumed your Soap Bar 
enough,"No where near enough bubbles from your Soap Bar . I wanted a bar of soap, not a chocolate bar"
Bars," I hate liquid soap, I only like Bars"
products,"I just wanted a bar of soap, not to smell like a brothel?! Do you even smell your own products "
smell,"I just wanted a bar of soap, not to smell like a brothel?! Do you even smell your own products "
smell,"I just wanted a bar of soap, not to smell like a brothel?! Do you even smell your own products "
Hey,Hey  you suds are soap...I expected beer!
moron,What kind of moron name is ?
